year,volume,issue,article_number,editorial,authors,title
2006,1,1,0,editorial,Gerry Stahl & Friedrich Hesse,ijCSCL—a journal for research in CSCL
2006,1,1,1,,Andrea Kienle & Martin Wessner,"The CSCL community in its ﬁrst decade: development, continuity, connectivity"
2006,1,1,2,,Chris Jones,"A relational, indirect, meso-level approach to CSCL design in the next decade"
2006,1,1,3,,Eddy Y.C. Lee & Carol K.K. Chan & Jan van Aalst,Students assessing their own collaborative knowledge building
2006,1,1,4,,Jochen Rick & Mark Guzdial,Situating CoWeb: a scholarship of application
2006,1,1,5,,Hugo Fuks & Mariano Pimentel,R-U-Typing-2-Me? Evolving a chat tool to increase understanding in learning activities
2006,1,1,6,,Rupert Wegerif,A dialogic understanding of the relationship between CSCL and teaching thinking skills
2006,1,2,0,editorial,Gerry Stahl & Friedrich Hesse,"Building knowledge in the classroom, building knowledge in the CSCL community"
2006,1,2,1,,Hans Christian Arnseth,Approaching institutional contexts: Systemic versus dialogic research in CSCL
2006,1,2,2,,Yael Kali,Collaborative knowledge building using the Design Principles Database
2006,1,2,3,,Joyce Yukawa,Co-reﬂection in online learning: Collaborative critical thinking as narrative
2006,1,2,4,,Jun Oshima & Ritsuko Oshima & Isao Murayama & Shigenori Inagaki & Makiko Takenaka & Tomokazu Yamamoto & Etsuji Yamaguchi & Hayashi Nakayama,Knowledge-building activity structures in Japanese elementary science pedagogy
2006,1,2,5,,Jacques Lonchamp,"Supporting synchronous collaborative learning: A generic, multi-dimensional model"
2006,1,2,6,,Eddy Y.C. Lee & Carol K.K. Chan & Jan van Aalst,Students assessing their own collaborative knowledge building
2006,1,3,0,editorial,Gerry Stahl & Friedrich Hesse,Focusing on participation in group meaning making
2006,1,3,1,,Daniel D. Suthers,Technology affordances for intersubjective meaning making: A research agenda for CSCL
2006,1,3,2,,J. van der Pol & W. Admiraal & P.R.J. Simons,The affordance of anchored discussion for the collaborative processing of academic texts
2006,1,3,3,,Tobin White,Code talk: Student discourse and participation with networked handhelds
2006,1,3,4,,Alejandra Martinez & Yannis Dimitriadis & Eduardo Gomez-Sanchez & Bartolome Rubia-Avi & Ivan Jorrin-Abellan & Jose A. Marcos,Studying participation networks in collaboration using mixed methods
2006,1,4,0,editorial,Gerry Stahl & Friedrich Hesse,Social practices of
2006,1,4,1,,Noel Enyedy & Christopher M. Hoadley,From dialogue to monologue and back: Middle spaces in computer-mediated learning
2006,1,4,2,,Joan Moss & Ruth Beatty,Knowledge building in mathematics: Supporting collaborative learning in pattern problems
2006,1,4,3,,Lynn Clouder & Jayne Dalley & Julian Hargreaves & Sally Parkes & Julie Sellars & Jane Toms,Electronic [re]constitution of groups: Group dynamics from face-to-face to an online setting
2006,1,4,4,,Nathan Dwyer & Daniel D. Suthers,Consistent practices in artifact-mediated collaboration
2007,2,1,0,editorial,Gerry Stahl & Friedrich Hesse,Gerry Stahl & Friedrich Hesse
2007,2,1,1,,Gerhard Fischer & Markus Rohde,"Community-based learning: The core competency of residential, research-based universities"
2007,2,1,2,,John M. Carroll & Umer Farooq,Patterns as a paradigm for theory in community-based learning
2007,2,1,3,,Anne Meier & Hans Spada & Nikol Rummel,A rating scheme for assessing the quality of computer-supported collaboration processes
2007,2,1,4,,Maarten de Laat & Vic Lally & Lasse Lipponen,Investigating patterns of interaction in networked learning and
2007,2,1,5,,Liam Rourke,Barriers to online critical discourse
2007,2,2,0,editorial,Gerry Stahl & Friedrich Hesse,Gerry Stahl & Daniel D. Suthers & Friedrich Hesse
2007,2,2,1,,Maarit Arvaja,Contextual perspective in analysing collaborative knowledge construction of two small groups in web-based discussion
2007,2,2,2,,Nilufar Baghaei & Antonija Mitrovic & Warwick Irwin,Supporting collaborative learning and problem-solving in a constraint-based CSCL environment for UML class diagrams
2007,2,2,3,,Marc Stadtler & Rainer Bromme,Dealing with multiple documents on the WWW: The role of metacognition in the formation of documents models
2007,2,2,4,,Lars Kobbe & Armin Weinberger & Pierre Dillenbourg & Andreas Harrer & Raija Hamalainen & Paivi Hakkinen & Frank Fischer,Specifying computer-supported collaboration scripts
2007,2,2,5,,Tammy Schellens & Hilde Van Keer & Bram De Wever & Martin Valcke,Scripting by assigning roles: Does it improve knowledge construction in asynchronous discussion groups?
2007,2,2,6,,Nathalie Muller Mirza & Valerie Tartas & Anne-Nelly Perret-Clermont & Jean-Francois de Pietro,Using graphical tools in a phased activity for enhancing dialogical skills: An example with Digalo
2007,2,2,7,,Kristine Lund & Gaelle Molinari & Arnauld Sejourne & Michael Baker,How do argumentation diagrams compare when student pairs use them as a means for debate or as a tool for representing debate?
2007,2,2,8,,Baruch B. Schwarz,Argumentation in a changing world
2007,2,2,9,,Michael Baker & Jerry Andriessen & Kristine Lund & Marie van Amelsvoort & Matthieu Quignard,Rainbow: A framework for analysing computer-mediated pedagogical debates
2007,2,4,0,editorial,Gerry Stahl,CSCL and its flash themes
2007,2,4,1,,Christine Greenhow & Brad Belbas,Using activity-oriented design methods to study collaborative knowledge-building in e-learning courses within higher education
2007,2,4,2,,Giasemi N. Vavoula & Mike Sharples,Future technology workshop: A collaborative method for the design of new learning technologies and activities
2007,2,4,3,,Karsten Stegmann & Armin Weinberger & Frank Fischer,Facilitating argumentative knowledge construction with computer-supported collaboration scripts
